user_id,item_id
0,257
0,267
0,5555
0,3637
0,1795
0,866
0,46
0,2737
0,4690
0,237
0,2062
0,915
0,4613
0,110
0,10
0,1643
0,3888
0,135
0,6664
0,149
0,34
0,32
0,59
0,147
0,9
0,93
0,3
0,491
0,56
0,1520
0,69
0,41
0,102
0,35
0,137
0,118
0,31
0,12
0,65
0,3405
0,2001
0,42
0,286
0,1040
0,44
0,37
0,66
0,45
0,21
0,114
0,30
0,15
0,131
0,39
0,406
0,255
0,272
0,377
0,328
0,97
0,215
0,1175
0,139
0,868
0,2678
0,1309
0,413
0,53
0,84
0,218
0,176
0,108
0,130
0,101
0,94
0,224
0,75
0,99
0,170
0,178
0,254
0,484
0,324
0,497
0,322
0,161
0,71
0,232
0,495
0,305
0,353
0,1029
0,1054
0,2769
0,197
0,1760
0,1941
0,127
0,80
0,5190
0,1186
0,2534
0,3293
0,4892
0,1179
0,6284
0,2132
0,1010
0,261
0,436
0,420
0,142
0,141
0,641
0,900
1,4080
1,259
1,9295
1,2317
1,25
1,314
1,32
1,300
1,2685
1,3752
1,8518
1,127
1,4058
1,3304
1,8033
1,283
1,126
1,192
1,210
1,9343
1,359
1,14
1,65
1,124
1,53
1,263
1,4
1,7
1,931
1,629
1,130
1,572
1,302
1,235
1,8854
1,1445
1,9761
1,7401
1,7340
1,1704
1,6383
1,8013
1,663
1,81
1,789
1,7232
1,3121
1,1095
1,113
1,1
1,2165
1,28
1,159
1,9
1,22
1,20
1,26
1,23
1,17
1,24
1,117
1,108
1,919
3,69
3,263
3,387
3,17
3,26
3,20
3,1
3,22
3,23
3,963
3,102
3,254
3,34
3,286
3,336
3,25
3,83
3,57
3,1116
3,659
3,110
3,4
3,412
3,7
3,2171
3,64
3,296
3,44
3,112
3,324
3,475
3,1236
3,144
3,35
3,101
3,221
3,199
3,12
3,639
3,692
3,574
3,54
3,1295
3,49
3,86
3,85
3,122
3,31
3,27
3,32
3,41
3,248
3,157
3,372
3,183
3,494
3,349
3,491
3,218
3,287
3,10
3,244
3,300
3,1056
3,595
3,781
3,425
3,3272
3,1036
3,99
3,47
3,94
3,1310
3,386
3,496
3,2189
3,1732
3,1300
3,488
3,1434
3,1379
3,220
3,400
3,130
3,3468
3,80
3,467
3,1209
3,435
3,100
3,3
3,397
3,116
3,660
3,84
3,714
3,1257
3,9
3,334
3,126
3,343
3,13
3,507
3,120
3,93
3,703
3,229
3,1264
3,180
3,53
3,353
3,325
3,3236
3,71
3,61
3,6
3,264
3,24
3,96
3,92
3,539
3,18
3,128
3,380
3,161
3,8463
3,1572
3,21
3,320
3,902
3,878
3,704
5,6350
5,519
5,3927
5,2660
5,709
5,39
5,603
5,1101
5,894
5,494
5,2620
5,1264
5,489
5,373
5,207
5,438
5,4079
5,216
5,1858
5,4659
5,93
5,1751
5,99
5,8328
5,5368
5,59
5,7340
5,5722
5,8032
5,5669
5,64
5,687
5,2289
5,586
5,189
5,2697
5,1306
5,232
5,757
5,3544
5,3932
5,81
5,407
5,549
5,180
5,235
5,255
5,315
5,1448
5,1709
5,1975
5,2278
5,2320
5,4078
5,9294
5,2356
5,246
5,1282
5,379
5,429
5,1493
5,2246
5,880
5,384
5,7278
5,176
5,6824
5,899
5,1268
5,859
5,2187
5,5994
5,452
5,657
5,1211
5,849
5,284
5,8234
5,7058
5,5214
5,978
5,1850
5,4705
5,2632
5,4049
5,9687
5,114
5,748
7,2731
7,1431
7,478
7,3019
7,6194
7,613
7,4621
7,9113
7,193
7,13
7,2583
7,54
7,771
7,777
7,1936
7,492
7,361
7,1966
7,528
7,5424
7,176
7,44
7,2780
7,1363
7,1040
7,3376
7,79
7,8311
7,82
7,484
7,4
7,717
7,263
7,353
7,575
7,559
7,3953
7,7308
7,161
7,2925
7,93
7,4601
7,768
7,96
7,70
7,12
7,976
7,300
7,3348
7,787
7,78
7,650
7,2489
7,878
7,64
7,42
7,546
7,545
7,6726
7,53
7,2001
7,3
7,886
7,530
7,1796
7,62
7,389
7,657
7,467
7,591
7,27
7,2186
7,2402
7,649
7,1213
7,700
7,6325
7,1083
7,229
7,9
7,470
7,75
7,170
7,3675
7,1508
7,1738
7,9990
7,3699
7,4502
7,4591
7,1678
7,507
7,7415
7,157
7,8564
7,898
8,396
8,657
8,100
8,343
8,371
8,942
8,1922
8,121
8,211
8,1641
8,316
8,32
8,25
8,8
8,80
8,59
8,493
8,237
8,13
8,569
8,794
8,2192
8,10
8,3416
8,4138
8,1054
8,180
8,4
8,118
8,4814
8,1220
8,1300
8,1985
8,1056
8,1036
8,962
8,595
8,1387
8,7867
8,1406
8,226
8,212
8,586
8,663
8,475
8,324
8,406
8,1310
8,9
8,75
8,170
8,216
8,185
8,765
8,177
8,77
8,6776
8,149
8,74
8,1456
8,107
8,305
8,954
8,1062
8,325
8,263
8,44
8,54
8,12
8,27
8,940
8,21
8,915
8,45
8,120
8,37
8,4754
8,1842
8,958
8,178
8,114
8,1082
8,257
8,814
8,3424
8,1030
8,482
8,2012
8,470
8,379
8,190
8,2
8,48
8,51
8,55
8,1230
8,466
8,4393
8,1954
8,549
8,1004
8,238
8,5907
8,8675
8,1440
8,15
8,1
8,22
8,17
8,96
8,23
8,7284
8,20
8,26
8,24
8,628
8,255
8,1614
8,97
8,337
8,981
8,3399
8,0
8,16
8,19
8,1135
8,4787
8,571
8,105
8,93
10,110
10,10
10,93
10,2558
10,521
10,257
10,407
10,515
10,6943
10,425
10,494
10,573
10,7
10,25
10,32
10,3559
